month_end,total_swipes
2022-02-28,123318.0
2022-03-31,95307.0
2022-04-30,81503.0
2022-05-31,84006.0
2022-06-30,0.0
2022-07-31,0.0
2022-08-31,0.0
2022-09-30,156902.0
2022-10-31,208322.0
2022-11-30,98182.0
2022-12-31,142617.0
2023-01-31,0.0
2023-02-28,154508.0
2023-03-31,115008.0
2023-04-30,138185.0
2023-05-31,109774.0
2023-06-30,0.0
2023-07-31,0.0
2023-08-31,0.0
2023-09-30,228037.0
2023-10-31,180972.0
2023-11-30,137013.0
2023-12-31,168210.0
