,meal_swipes,total_quantity,predicted_quantity,residual,studentized_residual,cooks_distance,leverage,is_zero_swipe_month
2024-01-31,0.0,126.0,168.71379160795266,-42.71379160795266,-0.4084162860052332,0.011133659630103432,0.11342227432830422,True
2024-02-29,160688.32,546.0,551.0074404351626,-5.007440435162607,-0.04644493474420783,8.00838594642754e-05,0.06589704381826479,False
2024-03-31,119608.32,477.0,453.2739953794063,23.7260046205937,0.2181347864519737,0.001233019772749493,0.04703663636743739,False
2024-04-30,143712.4,652.8333299999999,510.6200221150332,142.21330788496675,1.3754718382517443,0.053233779501171814,0.05552067806393757,False
2024-05-31,114164.96,153.0,440.32369534341063,-287.32369534341063,-3.3119391584120823,0.17702911154577028,0.04613578783111998,False
2024-06-30,0.0,153.0,168.71379160795266,-15.713791607952658,-0.14968344868363953,0.001506827959301119,0.11342227432830415,True
2024-07-31,0.0,130.5,168.71379160795266,-38.21379160795266,-0.3650689269025286,0.008911318233958748,0.11342227432830415,True
2024-08-31,0.0,253.0,168.71379160795266,84.28620839204734,0.8163557087563027,0.04335255784856866,0.11342227432830415,True
2024-09-30,237158.48,725.0,732.9376298403449,-7.9376298403449255,-0.07754095334570288,0.0005924602005644948,0.15773763255196632,False
2024-10-31,188210.88,746.1666299999999,616.4863743580875,129.68025564191248,1.2695075160349987,0.0777564572307294,0.0904493680992923,False
2024-11-30,142493.52000000002,639.0,507.72018420097385,131.27981579902615,1.2600423349901897,0.04481130247644287,0.0549156152177554,False
2024-12-31,174938.4,344.0,584.9098116795669,-240.90981167956693,-2.6242743466537393,0.22323492768401826,0.07741558895867508,False
2025-01-31,0.0,167.0,168.71379160795266,-1.7137916079526576,-0.016315407765637516,1.792328930774039e-05,0.11342227432830415,True
2025-02-28,167115.85280000002,617.0,566.299186388251,50.70081361174903,0.4742476439028057,0.00891058556447849,0.0707751851414696,False
2025-03-31,124392.65280000001,518.0,464.6564035302644,53.34359646973559,0.4932341754404926,0.006393432915432833,0.04813724418988753,False
2025-04-30,149460.896,585.0,524.2962713353164,60.70372866468358,0.5655285901415308,0.010309613759435989,0.05862705904594581,False
2025-05-31,118731.55840000001,420.83334,451.18809149282896,-30.35475149282894,-0.2792766446341409,0.002010217387150531,0.04686626778163996,False
2025-06-30,0.0,134.0,168.71379160795266,-34.71379160795266,-0.33142915943944334,0.007353698082669004,0.11342227432830415,True
2025-07-31,0.0,121.0,168.71379160795266,-47.71379160795266,-0.45672186737091364,0.013892792528763152,0.11342227432830415,True
2025-08-31,0.0,276.0,168.71379160795266,107.28620839204734,1.050613381600372,0.07024080586542128,0.11342227432830415,True
2025-09-30,246644.81920000003,691.0,755.5065833696407,-64.50658336964068,-0.6432204546391002,0.04497966720572844,0.1742769646444923,False
2025-10-31,195739.3152,668.0,634.3972776680929,33.6027223319071,0.31814144399819316,0.005811191315092615,0.0988307336616829,False
