year,actual_swipes_source_total,forecast_meal_swipes_total,forecast_swipes_increase_from_source,growth_multiplier
2024,1231707.0,1280975.28,49268.28000000004,1.04
2025,1231707.0,1332214.2912,100507.29120000012,1.0816000000000001
